timestamp,threshold_b_a,beta_l_alpha_l,poorsignal,delta,theta,alpha_l,alpha_h,beta_l,beta_h,gamma_l,gamma_m
2023-11-22 06:08:05.759,1.0,0.9625453025452106,200,339593,695850,217703,136086,0,68756,136780,60453
2023-11-22 06:08:07.781,1.0,0.540396561385938,200,295001,71827,419355,159542,0,86874,131196,138013
2023-11-22 06:08:09.791,1.0,0.24822397858726394,200,291486,360540,467759,206765,0,209917,92170,92815
2023-11-22 06:08:10.785,1.0,2.708773258841911,200,226382,227694,63363,84619,0,192450,185608,70692
2023-11-22 06:08:12.740,1.0,0.3510751235061537,200,517711,680231,358889,254951,0,120497,97923,49564
2023-11-22 06:08:13.739,1.0,0.32444279934258,200,152153,632131,429558,573136,0,97429,71056,100672
2023-11-22 06:08:14.766,1.0,0.1331502980240865,200,503885,320322,507006,106411,0,127406,99786,82088
2023-11-22 06:08:15.785,1.0,0.2838313305185666,200,233484,635333,147792,186123,0,112504,255030,74230
2023-11-22 06:08:17.782,1.0,3.7203168063249907,200,289857,349460,71842,184336,0,96580,104134,117174
2023-11-22 06:08:19.746,1.0,1.265580518838294,200,289328,1001468,74821,259680,0,74007,200535,41907
2023-11-22 06:08:21.766,1.0,1.2654439349729054,200,318911,189561,95960,181585,0,168307,78109,85696
2023-11-22 06:08:23.762,1.0,1.0751220620720308,200,79126,170552,299233,81658,0,65332,155280,93110
2023-11-22 06:08:24.750,1.0,4.365512322298195,200,606221,312718,40658,145540,0,122709,130355,85108
2023-11-22 06:08:25.762,1.0,0.8812930172737634,200,353870,139410,157059,124262,0,211830,116536,100068
2023-11-22 06:08:26.765,1.0,0.15507831120578958,200,269490,535308,438443,62671,0,185055,57744,56904
2023-11-22 06:08:27.788,1.0,0.8636619608909257,200,642448,345260,205988,403734,0,230149,91158,65502
2023-11-22 06:08:28.758,1.0,1.0178484136730532,200,413428,544230,83873,174244,0,92265,88856,63290
2023-11-22 06:08:29.746,1.0,1.6715208153760075,200,407491,900338,66129,296216,0,315213,121822,68155
2023-11-22 06:08:32.752,1.0,0.46696319138492304,200,220782,553063,332069,258918,0,128594,129427,67467
2023-11-22 06:08:34.790,1.0,0.5458311113864727,200,44695,341710,451931,279816,0,136092,79650,71488
2023-11-22 06:08:35.781,1.0,2.483855787079401,200,817158,342772,38249,83524,0,93551,67503,239300
2023-11-22 06:08:36.764,1.0,0.6988451528952505,200,676522,606033,221328,83592,0,63862,75669,91128
2023-11-22 06:08:37.741,1.0,0.529886922621599,200,463158,387413,195972,125783,0,136363,88095,127970
2023-11-22 06:08:38.745,1.0,0.6670470924220261,200,608581,1063086,186633,74788,0,109730,110888,205751
2023-11-22 06:08:39.751,1.0,2.5943382952978586,200,1030208,172069,35537,129050,0,85671,134412,124776
2023-11-22 06:08:40.752,1.0,0.2852639101371729,200,132815,543809,387613,26229,0,114701,84236,71217
2023-11-22 06:08:41.764,1.0,0.25823535897204597,200,1193639,276681,498855,74305,0,157045,53774,88835
2023-11-22 06:08:42.769,1.0,0.4899023209671968,200,541464,490131,366916,235174,0,113077,113019,41209
2023-11-22 06:08:43.747,1.0,0.252043019506049,200,354961,158304,540499,76901,0,117106,78229,122439
2023-11-22 06:08:44.764,1.0,0.5789428919738794,200,547248,195340,317451,36310,0,51007,95532,75766
2023-11-22 06:08:45.759,1.0,0.25967814383709775,200,399588,75041,360658,133079,0,167780,88748,90383
2023-11-22 06:08:46.795,1.0,0.5883003841138951,200,499416,1616116,283770,401835,0,186364,40598,69442
2023-11-22 06:08:47.740,1.0,0.6098670487883464,200,330507,156192,235876,70276,0,230846,213008,56115
2023-11-22 06:08:48.750,1.0,2.8356182538396975,200,449972,693093,67909,83066,0,244257,136960,70644
2023-11-22 06:08:49.768,1.0,1.4919911665222374,200,137427,1255731,143092,58627,0,110877,115177,121722
2023-11-22 06:08:51.753,1.0,0.6968959809086861,200,178382,426322,238014,429546,0,191867,262307,160631
2023-11-22 06:08:52.766,1.0,1.5441847899500203,200,376915,662829,74030,115578,0,162851,104841,52058
2023-11-22 06:08:53.783,1.0,17.573551574012058,200,477039,1808310,47776,416376,0,422707,320848,480449
2023-11-22 06:08:54.780,1.0,0.5615642339481483,200,209000,478499,320259,128394,0,130874,145398,115562
2023-11-22 06:08:55.763,1.0,0.5811870100783875,200,956187,342830,50008,240635,0,123542,80112,94898
2023-11-22 06:08:56.768,1.0,6.934446354038792,200,490011,641683,28511,203709,0,75314,47966,87806
2023-11-22 06:08:57.741,1.0,1.047225110815474,200,236748,338873,172133,157037,0,222430,95212,76005
2023-11-22 06:08:58.765,1.0,0.20968498110564457,200,334644,641141,354074,199532,0,89922,62956,97555
2023-11-22 06:08:59.789,1.0,0.7036893303409619,200,588057,598470,273139,267256,0,144775,109845,131494
2023-11-22 06:09:00.764,1.0,0.8856683520119294,200,727045,342580,85838,102772,0,182629,172099,105047
2023-11-22 06:09:01.768,1.0,2.4897977055784217,200,241564,979365,159866,192214,0,117717,197031,60107
2023-11-22 06:09:02.823,1.0,0.8212431093712551,200,282937,532329,125170,312248,0,119637,146601,138399
2023-11-22 06:09:03.803,1.0,0.14462125486304178,200,941211,363057,441339,140990,0,73060,87542,92678
2023-11-22 06:09:04.740,1.0,2.2740529331757675,200,450723,1285825,89698,77013,0,79569,221486,157053
2023-11-22 06:09:05.761,1.0,1.5470182492504463,200,505144,532970,115402,135218,0,57570,69825,87607
